Station,Line,AdmArea,global_id,District,Status,ID,Unnamed: 7
Шипиловская,Люблинско-Дмитровская линия,Южный административный округ,58702081,район Зябликово,действует,177,
Белорусская,Кольцевая линия,Центральный административный округ,58702083,Тверской район,действует,83,
Полянка,Серпуховско-Тимирязевская линия,Центральный административный округ,58702084,район Якиманка,действует,149,
Крылатское,Арбатско-Покровская линия,Западный административный округ,58702085,район Крылатское,действует,56,
Сходненская,Таганско-Краснопресненская линия,Северо-Западный административный округ,58702086,район Южное Тушино,действует,111,
Площадь Революции,Арбатско-Покровская линия,Центральный административный округ,58702087,Тверской район,действует,48,
Юго-Западная,Сокольническая линия,Западный административный округ,58702088,район Тропарёво-Никулино,действует,19,
Шоссе Энтузиастов,Калининская линия,Восточный административный округ,58702089,район Перово,действует,132,
Китай-город,Калужско-Рижская линия,Центральный административный округ,58702090,Тверской район,действует,96,
Щукинская,Таганско-Краснопресненская линия,Северо-Западный административный округ,58702091,район Щукино,действует,113,
Лесопарковая,Бутовская линия Лёгкого метро,Юго-Западный административный округ,58702092,район Северное Бутово,действует,216,
Новогиреево,Калининская линия,Восточный административный округ,58702093,район Новогиреево,действует,130,
Курская,Арбатско-Покровская линия,Центральный административный округ,58702094,Басманный район,действует,47,
Лефортово,Большая кольцевая линия,Юго-Восточный административный округ,58702095,район Лефортово,строится,258,
Очаково,Солнцевская линия,Западный административный округ,58702096,район Очаково-Матвеевское,строится,264,
Авиамоторная,Большая кольцевая линия,Юго-Восточный административный округ,58702097,район Лефортово,строится,257,
Минская,Солнцевская линия,Западный административный округ,58702098,район Дорогомилово,действует,223,
Студенческая,Филёвская линия,Западный административный округ,58702099,район Дорогомилово,действует,67,
Пражская,Серпуховско-Тимирязевская линия,Южный административный округ,58702100,район Чертаново Центральное,действует,158,
Парк культуры,Кольцевая линия,Центральный административный округ,58702101,район Хамовники,действует,74,
Аэропорт,Замоскворецкая линия,Северный административный округ,58702102,район Аэропорт,действует,35,
Проспект Мира,Кольцевая линия,Центральный административный округ,58702103,Мещанский район,действует,81,
Третьяковская,Калужско-Рижская линия,Центральный административный округ,58702104,район Замоскворечье,действует,97,
Марьина роща,Люблинско-Дмитровская линия,Северо-Восточный административный округ,58702105,район Марьина Роща,действует,162,
Китай-город,Таганско-Краснопресненская линия,Центральный административный округ,58702106,Тверской район,действует,121,
Авиамоторная,Калининская линия,Юго-Восточный административный округ,58702107,район Лефортово,действует,133,
Нахимовский проспект,Серпуховско-Тимирязевская линия,Юго-Западный административный округ,58702108,район Зюзино,действует,154,
Алма-Атинская,Замоскворецкая линия,Южный административный округ,58702109,район Братеево,действует,196,
Цветной бульвар,Серпуховско-Тимирязевская линия,Центральный административный округ,58702110,Тверской район,действует,146,
Окружная,Люблинско-Дмитровская линия,Северный административный округ,58702111,Тимирязевский район,действует,210,
Добрынинская,Кольцевая линия,Центральный административный округ,58702112,район Замоскворечье,действует,76,
Технопарк,Замоскворецкая линия,Южный административный округ,58702113,район Нагатино-Садовники,действует,197,
Серпуховская,Серпуховско-Тимирязевская линия,Центральный административный округ,58702114,район Замоскворечье,действует,150,
Каширская,Замоскворецкая линия,Южный административный округ,58702115,район Нагатино-Садовники,действует,25,
Жулебино,Таганско-Краснопресненская линия,Юго-Восточный административный округ,58702116,район Выхино-Жулебино,действует,205,
Селигерская,Люблинско-Дмитровская линия,Северный административный округ,58702117,Бескудниковский район,действует,212,
Юго-Восточная,Некрасовская линия,Юго-Восточный административный округ,58702118,район Выхино-Жулебино,строится,234,
Солнцево,Солнцевская линия,Западный административный округ,58702119,район Солнцево,действует,266,
Пятницкое шоссе,Арбатско-Покровская линия,Северо-Западный административный округ,58702120,район Митино,действует,200,
Улица Скобелевская,Бутовская линия Лёгкого метро,Юго-Западный административный округ,58702121,район Южное Бутово,действует,183,
Воробьёвы горы,Сокольническая линия,Западный административный округ,58702122,район Раменки,действует,16,
Мичуринский проспект,Большая кольцевая линия,Западный административный округ,58702123,район Раменки,строится,246,
Верхние Лихоборы,Люблинско-Дмитровская линия,Северный административный округ,58702124,Бескудниковский район,действует,211,
Строгино,Арбатско-Покровская линия,Северо-Западный административный округ,58702125,район Строгино,действует,57,
Отрадное,Серпуховско-Тимирязевская линия,Северо-Восточный административный округ,58702126,район Отрадное,действует,139,
Кузьминки,Таганско-Краснопресненская линия,Юго-Восточный административный округ,58702127,район Кузьминки,действует,126,
Кунцевская,Филёвская линия,Западный административный округ,58702128,район Кунцево,действует,61,
Окская улица,Некрасовская линия,Юго-Восточный административный округ,58702129,Рязанский район,строится,233,
Митино,Арбатско-Покровская линия,Северо-Западный административный округ,58702130,район Митино,действует,60,
Академическая,Калужско-Рижская линия,Юго-Западный административный округ,58702131,Академический район,действует,101,
Пролетарская,Таганско-Краснопресненская линия,Центральный административный округ,58702132,Таганский район,действует,123,
Нижняя Масловка,Большая кольцевая линия,Северный административный округ,58702133,Савёловский район,строится,235,
Деловой центр,Большая кольцевая линия,Центральный административный округ,58702134,Пресненский район,строится,240,
Тургеневская,Калужско-Рижская линия,Центральный административный округ,58702135,Красносельский район,действует,95,
Беляево,Калужско-Рижская линия,Юго-Западный административный округ,58702136,район Коньково,действует,105,
Царицыно,Замоскворецкая линия,Южный административный округ,58702137,район Царицыно,действует,23,
Волхонка,Солнцевская линия,Центральный административный округ,58702138,район Хамовники,строится,219,
Киевская,Филёвская линия,Западный административный округ,58702139,район Дорогомилово,действует,68,
Полежаевская,Таганско-Краснопресненская линия,Северный административный округ,58702140,Хорошёвский район,действует,115,
Текстильщики,Большая кольцевая линия,Юго-Восточный административный округ,58702141,район Текстильщики,строится,255,
Войковская,Замоскворецкая линия,Северный административный округ,58702142,Войковский район,действует,37,
Саларьево,Сокольническая линия,Западный административный округ,58702143,район Солнцево,действует,195,
Братиславская,Люблинско-Дмитровская линия,Юго-Восточный административный округ,58702144,район Марьино,действует,174,
Южная,Серпуховско-Тимирязевская линия,Южный административный округ,58702145,район Чертаново Центральное,действует,157,
Киевская,Кольцевая линия,Западный административный округ,58702146,район Дорогомилово,действует,85,
Славянский бульвар,Арбатско-Покровская линия,Западный административный округ,58702147,район Фили-Давыдково,действует,53,
Свиблово,Калужско-Рижская линия,Северо-Восточный административный округ,58702148,район Свиблово,действует,88,
Университет,Сокольническая линия,Западный административный округ,58702149,район Раменки,действует,17,
Улица Старокачаловская,Бутовская линия Лёгкого метро,Юго-Западный административный округ,58702150,район Северное Бутово,действует,182,
Электрозаводская,Арбатско-Покровская линия,Восточный административный округ,58702151,район Соколиная Гора,действует,45,
Ясенево,Калужско-Рижская линия,Юго-Западный административный округ,58702152,район Ясенево,действует,108,
Румянцево,Сокольническая линия,Новомосковский административный округ,58702153,поселение Московский,действует,194,
Тропарёво,Сокольническая линия,Западный административный округ,58702154,район Тропарёво-Никулино,действует,193,
Таганская,Кольцевая линия,Центральный административный округ,58702155,Таганский район,действует,78,
Каширская,Каховская линия,Южный административный округ,58702156,район Москворечье-Сабурово,действует,179,
Орехово,Замоскворецкая линия,Южный административный округ,58702157,район Орехово-Борисово Северное,действует,22,
Перово,Калининская линия,Восточный административный округ,58702158,район Новогиреево,действует,131,
Телецентр,Московская монорельсовая транспортная система,Северо-Восточный административный округ,58702159,Останкинский район,действует,190,
Дубровка,Люблинско-Дмитровская линия,Юго-Восточный административный округ,58702160,Южнопортовый район,действует,169,
Каширская,Большая кольцевая линия,Южный административный округ,58702161,район Москворечье-Сабурово,строится,252,
Семёновская,Арбатско-Покровская линия,Восточный административный округ,58702162,район Соколиная Гора,действует,44,
Стахановская,Некрасовская линия,Юго-Восточный административный округ,58702163,Рязанский район,строится,232,
Кунцевская,Арбатско-Покровская линия,Западный административный округ,58702164,район Кунцево,действует,54,
Петровско-Разумовская,Люблинско-Дмитровская линия,Северный административный округ,58702165,Тимирязевский район,действует,209,
Тёплый стан,Калужско-Рижская линия,Юго-Западный административный округ,58702166,район Ясенево,действует,107,
Выхино,Таганско-Краснопресненская линия,Юго-Восточный административный округ,58702168,район Выхино-Жулебино,действует,128,
Терешково,Солнцевская линия,Западный административный округ,58702169,район Солнцево,строится,265,
Кантемировская,Замоскворецкая линия,Южный административный округ,58702170,район Царицыно,действует,24,
Севастопольский проспект,Большая кольцевая линия,Юго-Западный административный округ,58702171,район Зюзино,строится,250,
Молодёжная,Арбатско-Покровская линия,Западный административный округ,58702172,район Кунцево,действует,55,
Владыкино,Серпуховско-Тимирязевская линия,Северо-Восточный административный округ,58702173,район Отрадное,действует,140,
Крестьянская застава,Люблинско-Дмитровская линия,Центральный административный округ,58702174,Таганский район,действует,168,
Хорошёвская,Большая кольцевая линия,Северный административный округ,58702175,Хорошёвский район,действует,238,
Зябликово,Люблинско-Дмитровская линия,Южный административный округ,58702176,район Зябликово,действует,178,
Петровско-Разумовская,Серпуховско-Тимирязевская линия,Северный административный округ,58702177,Тимирязевский район,действует,141,
Красносельская,Сокольническая линия,Центральный административный округ,58702178,Красносельский район,действует,5,
Улица Народного ополчения,Большая кольцевая линия,Северо-Западный административный округ,58702179,район Хорошёво-Мнёвники,строится,241,
Чистые пруды,Сокольническая линия,Центральный административный округ,58702180,Басманный район,действует,8,
Дмитровское шоссе,Люблинско-Дмитровская линия,Северный административный округ,58702181,район Восточное Дегунино,строится,214,
Комсомольская,Кольцевая линия,Центральный административный округ,58702182,Красносельский район,действует,80,
Сретенский бульвар,Люблинско-Дмитровская линия,Центральный административный округ,58702183,Красносельский район,действует,165,
Проспект Вернадского,Большая кольцевая линия,Западный административный округ,58702184,район Раменки,строится,247,
Боровицкая,Серпуховско-Тимирязевская линия,Центральный административный округ,58702185,район Арбат,действует,148,
Бибирево,Серпуховско-Тимирязевская линия,Северо-Восточный административный округ,58702186,район Бибирево,действует,138,
Речной вокзал,Замоскворецкая линия,Северный административный округ,58702187,район Левобережный,действует,39,
Люблино,Люблинско-Дмитровская линия,Юго-Восточный административный округ,58702188,район Люблино,действует,173,
Бутырская,Люблинско-Дмитровская линия,Северо-Восточный административный округ,58702189,Бутырский район,действует,207,
Октябрьское поле,Таганско-Краснопресненская линия,Северо-Западный административный округ,58702190,район Щукино,действует,114,
Новокузнецкая,Замоскворецкая линия,Центральный административный округ,58702191,район Замоскворечье,действует,29,
Кутузовская,Филёвская линия,Западный административный округ,58702192,район Дорогомилово,действует,66,
Челобитьево,Калужско-Рижская линия,Северо-Восточный административный округ,58702193,Лосиноостровский район,строится,202,
Тушинская,Таганско-Краснопресненская линия,Северо-Западный административный округ,58702194,район Покровское-Стрешнево,действует,112,
Коломенская,Замоскворецкая линия,Южный административный округ,58702195,район Нагатино-Садовники,действует,26,
Октябрьская,Кольцевая линия,Центральный административный округ,58702196,район Якиманка,действует,75,
Проспект Вернадского,Сокольническая линия,Западный административный округ,58702197,район Проспект Вернадского,действует,18,
Нагорная,Серпуховско-Тимирязевская линия,Южный административный округ,58702198,Нагорный район,действует,153,
Выставочная,Филёвская линия,Центральный административный округ,58702199,Пресненский район,действует,72,
Бунинская аллея,Бутовская линия Лёгкого метро,Юго-Западный административный округ,58702200,район Южное Бутово,действует,186,
Рижская,Калужско-Рижская линия,Центральный административный округ,58702201,Мещанский район,действует,92,
Ходынское поле,Большая кольцевая линия,Северный административный округ,58702202,Хорошёвский район,строится,237,
Новоясеневская,Калужско-Рижская линия,Юго-Западный административный округ,58702203,район Ясенево,действует,109,
Бауманская,Арбатско-Покровская линия,Центральный административный округ,58702204,Басманный район,действует,46,
Бульвар Рокоссовского,Сокольническая линия,Восточный административный округ,58702205,район Богородское,действует,1,
Черкизовская,Сокольническая линия,Восточный административный округ,58702206,район Преображенское,действует,2,
Коньково,Калужско-Рижская линия,Юго-Западный административный округ,58702207,район Тёплый Стан,действует,106,
Менделеевская,Серпуховско-Тимирязевская линия,Центральный административный округ,58702208,Тверской район,действует,145,
улица Дмитриевского,Некрасовская линия,Восточный административный округ,58702209,район Косино-Ухтомский,действует,227,
Электрозаводская,Большая кольцевая линия,Восточный административный округ,58702210,район Соколиная Гора,строится,259,
Раменки,Солнцевская линия,Западный административный округ,58702211,район Раменки,действует,225,
Смоленская,Арбатско-Покровская линия,Центральный административный округ,58702212,район Арбат,действует,50,
Баррикадная,Таганско-Краснопресненская линия,Центральный административный округ,58702213,Пресненский район,действует,118,
Багратионовская,Филёвская линия,Западный административный округ,58702214,район Филёвский Парк,действует,64,
Бабушкинская,Калужско-Рижская линия,Северо-Восточный административный округ,58702215,Бабушкинский район,действует,87,
Кропоткинская,Сокольническая линия,Центральный административный округ,58702216,район Хамовники,действует,12,
Проспект Мира,Калужско-Рижская линия,Центральный административный округ,58702217,Мещанский район,действует,93,
Сухаревская,Калужско-Рижская линия,Центральный административный округ,58702218,Красносельский район,действует,94,
Тимирязевская,Московская монорельсовая транспортная система,Северо-Восточный административный округ,58702219,Бутырский район,действует,192,
Красные ворота,Сокольническая линия,Центральный административный округ,58702220,Красносельский район,действует,7,
Печатники,Люблинско-Дмитровская линия,Юго-Восточный административный округ,58702221,район Печатники,действует,171,
Шереметьевская,Большая кольцевая линия,Северо-Восточный административный округ,58702222,район Марьина Роща,строится,262,
Рязанский проспект,Таганско-Краснопресненская линия,Юго-Восточный административный округ,58702223,Рязанский район,действует,127,
Римская,Люблинско-Дмитровская линия,Центральный административный округ,58702224,Таганский район,действует,167,
Александровский сад,Филёвская линия,Центральный административный округ,58702225,Тверской район,действует,71,
Ленинский проспект,Калужско-Рижская линия,Южный административный округ,58702226,Донской район,действует,100,
Чеховская,Серпуховско-Тимирязевская линия,Центральный административный округ,58702227,Тверской район,действует,147,
Печатники,Большая кольцевая линия,Юго-Восточный административный округ,58702228,район Печатники,строится,254,
Щёлковская,Арбатско-Покровская линия,Восточный административный округ,58702229,район Гольяново,действует,40,
Ховрино,Замоскворецкая линия,Северный административный округ,58702230,район Ховрино,действует,199,
Шелепиха,Московское центральное кольцо,Центральный административный округ,277904735,Пресненский район,действует,284,
Площадь Гагарина,Московское центральное кольцо,Юго-Западный административный округ,277904736,Гагаринский район,действует,288,
Лихоборы,Московское центральное кольцо,Северный административный округ,277904737,район Коптево,действует,280,
Автозаводская,Московское центральное кольцо,Южный административный округ,277904738,Даниловский район,действует,292,
Шоссе Энтузиастов,Московское центральное кольцо,Восточный административный округ,277904739,район Соколиная Гора,действует,271,
Хорошёво,Московское центральное кольцо,Северный административный округ,277904740,Хорошёвский район,действует,283,
Соколиная Гора,Московское центральное кольцо,Восточный административный округ,277904741,район Соколиная Гора,действует,296,
Локомотив,Московское центральное кольцо,Восточный административный округ,277904742,район Преображенское,действует,273,
Кутузовская,Московское центральное кольцо,Западный административный округ,277904743,район Дорогомилово,действует,286,
Балтийская,Московское центральное кольцо,Северный административный округ,277904744,Войковский район,действует,281,
Владыкино,Московское центральное кольцо,Северо-Восточный административный округ,277904745,район Марфино,действует,278,
Угрешская,Московское центральное кольцо,Юго-Восточный административный округ,277904746,район Печатники,действует,293,
Ботанический сад,Московское центральное кольцо,Северо-Восточный административный округ,277904747,район Свиблово,действует,277,
Андроновка,Московское центральное кольцо,Восточный административный округ,277904748,район Перово,действует,270,
Дубровка,Московское центральное кольцо,Юго-Восточный административный округ,277904749,Южнопортовый район,действует,297,
Измайлово,Московское центральное кольцо,Восточный административный округ,277904750,район Соколиная Гора,действует,272,
Лужники,Московское центральное кольцо,Центральный административный округ,277904751,район Хамовники,действует,287,
Нижегородская,Московское центральное кольцо,Юго-Восточный административный округ,277904752,Нижегородский район,действует,295,
Новохохловская,Московское центральное кольцо,Юго-Восточный административный округ,277904753,Нижегородский район,действует,294,
ЗИЛ,Московское центральное кольцо,Южный административный округ,277904754,Даниловский район,действует,291,
Верхние Котлы,Московское центральное кольцо,Южный административный округ,277904755,Нагорный район,действует,290,
Белокаменная,Московское центральное кольцо,Восточный административный округ,277904756,район Богородское,действует,275,
Ростокино,Московское центральное кольцо,Северо-Восточный административный округ,277904757,район Ростокино,действует,276,
Деловой центр,Московское центральное кольцо,Центральный административный округ,277904758,Пресненский район,действует,285,
Бульвар Рокоссовского,Московское центральное кольцо,Восточный административный округ,277904759,район Богородское,действует,274,
Стрешнево,Московское центральное кольцо,Северный административный округ,277904760,район Сокол,действует,282,
Крымская,Московское центральное кольцо,Южный административный округ,277904761,Донской район,действует,289,
Окружная,Московское центральное кольцо,Северный административный округ,277904762,Тимирязевский район,действует,279,
Петровский парк,Большая кольцевая линия,Северный административный округ,696737361,район Аэропорт,действует,298,
ЦСКА,Большая кольцевая линия,Северный административный округ,696742167,Хорошёвский район,действует,299,
Шелепиха,Большая кольцевая линия,Центральный административный округ,696749112,Пресненский район,действует,300,
Озерная,Солнцевская линия,Западный административный округ,886123736,район Очаково-Матвеевское,действует,301,
Говорово,Солнцевская линия,Западный административный округ,886123738,район Солнцево,действует,302,
Беломорская,Замоскворецкая линия,Северный административный округ,904474367,район Левобережный,действует,303,
Зорге,Московское центральное кольцо,Северо-Западный административный округ,905932318,район Хорошёво-Мнёвники,действует,304,
Панфиловская,Московское центральное кольцо,Северо-Западный административный округ,905932372,район Щукино,действует,305,
Коптево,Московское центральное кольцо,Северный административный округ,905932373,район Коптево,действует,306,
Савеловская,Большая кольцевая линия,Северный административный округ,906044097,Савёловский район,действует,307,
Филатов луг,Сокольническая линия,Новомосковский административный округ,930063626,поселение Сосенское,действует,308,
Прокшино,Сокольническая линия,Новомосковский административный округ,930063627,поселение Сосенское,действует,309,
Ольховка,Сокольническая линия,Новомосковский административный округ,930063628,поселение Сосенское,действует,310,
Коммунарка,Сокольническая линия,Новомосковский административный округ,930063629,поселение Сосенское,действует,311,
